customer_id,flight_id,checkin_wait_min,baggage_wait_min,inflight_service_rating,issue_checkin,issue_baggage,issue_inflight,nps_score,total_issues
1,17270,36,19,2,0,0,0,7,0
2,10860,2,11,4,0,1,0,0,1
3,15390,22,4,4,0,1,0,5,1
4,15191,0,5,2,0,0,0,5,0
5,15734,4,13,2,0,1,0,8,1
6,16265,0,0,3,0,0,0,7,0
7,10466,10,3,4,0,0,0,9,0
8,14426,7,15,1,0,0,0,5,0
9,15578,9,7,2,0,1,0,5,1
10,18322,3,6,1,0,0,0,0,0
11,11685,3,1,4,0,0,0,10,0
12,10769,0,6,5,0,1,1,7,2
13,16949,3,17,5,0,0,0,7,0
14,12433,21,3,2,0,1,0,10,1
15,15311,3,0,3,0,1,1,5,2
16,15051,14,13,1,0,1,1,5,2
17,16420,14,43,2,0,0,0,8,0
18,11184,3,11,3,1,0,0,9,1
19,14555,7,1,1,0,1,0,8,1
20,13385,0,4,4,0,0,0,9,0
21,16396,0,24,5,0,0,1,7,1
22,18666,0,3,3,1,0,0,9,1
23,19274,6,11,1,0,0,0,7,0
24,12558,4,6,2,0,1,0,4,1
25,17849,6,2,1,0,0,0,7,0
26,12047,5,20,2,0,0,0,8,0
27,12747,3,16,5,0,0,0,8,0
28,19167,9,13,5,0,0,0,5,0
29,19998,11,3,1,1,0,1,1,2
30,10189,0,1,1,1,0,0,5,1
31,12734,1,10,2,0,0,0,10,0
32,13005,9,9,2,1,0,0,4,1
33,14658,3,2,3,0,1,1,7,2
34,11899,8,0,3,0,0,0,8,0
35,17734,3,1,3,0,0,0,10,0
36,11267,3,59,1,0,1,0,9,1
37,11528,1,18,3,0,0,0,10,0
38,13556,2,30,1,0,1,0,7,1
39,13890,7,2,5,1,0,1,9,2
40,18838,4,38,4,0,0,0,5,0
41,15393,11,1,5,0,0,0,6,0
42,18792,15,8,1,0,0,0,9,0
43,18433,6,21,1,0,1,1,5,2
44,17513,11,5,4,0,1,0,10,1
45,12612,2,6,2,0,0,0,6,0
46,17041,4,1,2,0,0,0,6,0
47,19555,9,1,2,0,1,0,5,1
48,16235,3,11,3,0,0,0,7,0
49,15486,7,13,2,0,1,0,2,1
50,17099,1,18,3,1,0,0,0,1
51,19670,7,9,3,0,0,0,10,0
52,10775,15,12,2,0,0,0,10,0
53,18226,16,0,2,0,0,0,1,0
54,13152,10,2,4,0,0,1,7,1
55,11585,10,50,4,0,0,1,7,1
56,13943,6,0,3,0,0,0,6,0
57,17555,7,13,4,0,0,1,7,1
58,13073,1,2,3,0,0,0,6,0
59,11021,4,15,1,0,1,0,7,1
60,13843,4,14,3,0,0,0,9,0
61,17989,25,3,3,0,0,0,7,0
62,19692,4,3,4,1,0,0,5,1
63,16873,6,12,1,1,0,0,7,1
64,15675,6,5,5,0,0,0,8,0
65,10161,8,2,5,0,0,0,8,0
66,14297,11,15,5,1,0,0,8,1
67,10995,2,2,1,0,0,0,8,0
68,17629,6,23,2,1,0,0,5,1
69,19467,13,8,1,0,1,0,6,1
70,11016,4,1,4,1,0,0,8,1
71,17869,2,14,3,1,0,0,9,1
72,16439,8,8,3,0,0,0,6,0
73,17892,13,4,4,0,0,0,6,0
74,16863,0,6,4,0,0,0,8,0
75,17916,11,4,3,0,0,0,4,0
76,18529,13,3,2,0,1,1,0,2
77,10878,4,2,2,0,0,0,7,0
78,19268,32,5,2,0,0,0,3,0
79,14887,12,3,4,0,0,0,6,0
80,14859,11,13,3,1,0,0,5,1
81,16331,11,13,3,0,0,1,9,1
82,18571,1,8,3,0,0,0,5,0
83,18684,1,18,1,0,0,0,8,0
84,17208,4,22,1,0,0,0,8,0
85,15276,2,10,5,0,0,0,6,0
86,12062,4,11,1,1,0,0,2,1
87,10064,17,3,2,0,0,0,8,0
88,18006,13,27,2,0,0,0,1,0
89,12568,7,0,2,0,0,0,2,0
90,15463,15,5,2,0,0,0,4,0
91,12027,12,15,5,1,0,0,5,1
92,12695,4,1,2,0,0,0,9,0
93,19687,1,2,4,0,0,0,8,0
94,15258,5,10,4,0,0,0,6,0
95,15618,10,9,4,1,0,0,10,1
96,16736,4,16,1,0,1,0,5,1
97,10391,8,20,3,1,0,0,7,1
98,15892,0,1,5,0,0,0,9,0
99,13561,11,0,4,0,0,0,9,0
100,16184,13,14,4,0,0,0,2,0
101,13099,9,4,2,0,0,0,8,0
102,16278,27,11,4,0,0,0,5,0
103,18392,14,1,2,0,0,0,6,0
104,13104,18,7,2,0,1,0,7,1
105,17215,21,8,3,1,1,0,9,2
106,12454,12,10,1,0,0,0,3,0
107,18996,8,8,2,0,0,0,2,0
108,12731,0,8,2,0,0,0,3,0
109,18154,5,4,3,0,1,0,4,1
110,19762,6,0,2,0,0,0,1,0
111,15056,2,1,5,0,0,0,10,0
112,18110,3,6,1,0,0,0,5,0
113,13840,25,5,5,0,0,0,3,0
114,11028,17,8,4,0,0,1,8,1
115,17385,15,4,1,1,0,1,9,2
116,10502,4,13,4,0,0,0,9,0
117,16910,0,23,2,0,0,1,8,1
118,19062,0,4,3,0,0,0,1,0
119,16938,2,2,5,0,0,0,9,0
120,14488,0,1,4,0,0,0,7,0
121,10206,0,11,2,0,0,0,8,0
122,15134,19,7,5,1,0,0,10,1
123,15977,9,2,5,1,1,0,9,2
124,17721,2,12,4,0,0,0,9,0
125,17035,1,1,2,0,0,0,4,0
126,11484,5,9,3,0,0,0,7,0
127,17858,0,8,4,0,1,1,10,2
128,10863,22,15,5,0,1,1,7,2
129,12790,4,0,5,1,0,1,2,2
130,17408,4,26,1,0,0,1,8,1
131,18755,3,14,2,0,0,0,1,0
132,15116,0,2,1,1,0,0,9,1
133,16019,8,2,3,0,0,0,10,0
134,11757,10,6,4,0,0,1,6,1
135,17574,9,20,5,0,0,0,6,0
136,16374,1,22,2,0,0,0,5,0
137,16892,6,8,5,0,0,0,10,0
138,11678,6,23,1,0,0,0,7,0
139,13242,16,0,1,0,1,0,7,1
140,14636,3,0,4,1,0,0,8,1
